source_id,title,summary,url,published_at,fetched_at,vader_compound
guardian,Jenrick ducks question on why George Cottrell gave $2m to his mother days before her big donations to Reform UK – politics live,"Jenrick questioned about latest Guardian revelations Q: [From ITV’s Romilly Weeks] You say that Reform UK followed all the rules in relation to donations. But why did George Cottrell give $2 m to his mother shortly before she made substantial donations to the party? Jenrick said Reform was certain all the rules were followed. Any questions for Cottrell would have to be directed to him, he said. It does seem curious that in this case the police have chosen not to take action. We’ll see whether they take action against the individual who posted the original tweet, who wore the T-shirt. I’m hearing today that the police may have closed that investigation as well. [See 9.20am .] Continue reading...",https://www.theguardian.com/politics/live/2026/jul/30/reform-nigel-farage-robert-jenrick-labour-prisons-andy-burnham-latest-news-updates,2026-07-30T10:56:48+00:00,2026-07-30T11:20:55.373471+00:00,0.0
guardian,UK government reviews why police ceding criminal cases to US military,"Exclusive: ministers and police chiefs examining how cases involving US military personnel on UK soil are handled after Guardian revelations The UK government and police chiefs are reviewing the process through which US military personnel accused of committing serious crimes on UK soil are avoiding the British justice system. The effort, involving multiple government departments, is examining why UK police forces, which have primary responsibility for investigating such cases, have been ceding jurisdiction to US military investigators. Continue reading...",https://www.theguardian.com/uk-news/2026/jul/30/uk-ministers-police-justice-review-us-military,2026-07-30T05:00:54+00:00,2026-07-30T11:20:55.373471+00:00,-0.5267
guardian,"Trident renewal central to defence spending, says Andy Burnham",Prime minister to highlight investment in communities as he launches next phase of nuclear submarine replacement Andy Burnham will place the renewal of Trident at the heart of his vision of a reindustrialised Britain on Thursday when he travels to Barrow-in-Furness to launch the next phase of the nuclear submarine replacement programme. The new prime minister intends to emphasise that defence spending on projects such as the £31bn Dreadnought-class boats built in the Cumbrian town is a case study of taxpayer investment revitalising communities around the UK. Continue reading...,https://www.theguardian.com/politics/2026/jul/29/trident-renewal-central-defence-reindustrialised-britain-andy-burnham,2026-07-29T21:30:43+00:00,2026-07-30T11:20:55.373471+00:00,0.1027
guardian,Police take no further action over Polanski sharing Farage guillotine image,"Scotland Yard says threshold not met for criminal action against Green leader, who has refused to apologise to his Reform rival No further action will be taken by police after Zack Polanski shared a photo of a man with a T-shirt showing a guillotine and the phrase “we’re only making plans for Nigel”. The Metropolitan police’s decision comes after the Green party leader for England and Wales said he had made an “inadvertent mistake” and would not apologise to Nigel Farage. Continue reading...",https://www.theguardian.com/politics/2026/jul/29/zack-polanski-will-not-apologise-to-nigel-farage-for-sharing-image,2026-07-29T19:56:46+00:00,2026-07-30T11:20:55.373471+00:00,0.1531
guardian,"Parliamentary watchdog decides against inquiry into £80,000 loan to Reform’s deputy leader","Richard Tice had been referred to standards commissioner over undeclared sum from Farage aide George Cottrell Parliament’s standards watchdog has declined to investigate a complaint made against Richard Tice over an undeclared loan of nearly £80,000 from Nigel Farage’s aide George Cottrell . The Liberal Democrats had referred Reform’s deputy leader to the parliamentary standards commissioner, which was investigating Farage after the Guardian’s revelation that he received an undeclared £5m gift from the crypto billionaire Christopher Harborne. Continue reading...",https://www.theguardian.com/uk-news/2026/jul/29/richard-tice-reform-loan-george-cottrell-investigation-standards-watchdog,2026-07-29T17:57:24+00:00,2026-07-30T11:20:55.373471+00:00,0.0
guardian,UK politics: Burnham does not rule out tax rises for social care reform – as it happened,"The prime minister says that current inefficiencies in the system will be tackled first, as he reveals final recommendations will be out by summer 2027 Andy Burnham is speaking now. In a reference to how he started campaing for social care reform almost two decades ago, he says it is good to see faces in the room “who’ve been on this journey with me for a long, a long time”. When someone in your family is receiving care, you look at everything through new eyes, don’t you? You notice things that maybe you didn’t notice before because you watch it so closely and so carefully. And I’ve just been really overwhelmed by their care, the skill in what they do, the professionalism. Can I just remind everybody that nobody thought we could get everybody in off the streets? So we can do difficult in this country and we can do it well. Continue reading...",https://www.theguardian.com/politics/live/2026/jul/29/andy-burnham-social-care-louise-casey-tories-kemi-badenoch-reform-nigel-farage-uk-politics-latest,2026-07-29T16:42:37+00:00,2026-07-30T11:20:55.373471+00:00,0.4939
guardian,I’ve seen what can confound Farage on his home turf: optimism. People need a politics that offers them that | Owen Jones,"You can’t blame his constituents in Clacton for their pessimism – because they have been let down for years Under battered England flags, cynicism, pessimism and exhaustion stalk the streets of Clacton. As the byelection called by Nigel Farage approaches, one young couple do not know which candidates are standing. Neither has ever voted. Living in Britain is “depressing”, says the woman in a black floral dress. “The cost of living these days is stupid,” says her partner, wearing a black and grey mechanic’s shirt and a black and red cap. They both work 40 or 50 hours a week, he says, yet “we’re still struggling to pay rent, food, electric, everything else”. They rarely get a day off, and time spent together is rarer still. Continue reading...",https://www.theguardian.com/commentisfree/2026/jul/30/farage-home-turf-people-need-politics-optimism,2026-07-30T05:00:52+00:00,2026-07-30T11:20:55.373471+00:00,0.5423
guardian,"Burnham the crowd-pleaser knows how to make friends, but he’ll be defined by how he makes enemies | Andy Beckett","The prime minister’s instinct to not upset people is set against a lifelong desire to effect transformative change. The two may not sit together easily Andy Burnham has always liked to be liked. Studying at secondary school near Liverpool in the 1980s, he writes in his autobiography and manifesto, Head North , “involved me walking something of a tightrope. Because of my mum and dad’s insistence that I should aim for university, I would largely try to keep up to date with my work. But … I realised I could often make the class laugh and that won me credit with the in-crowd. It was hard to be both a good student and one of the lads.” As the new leader of a divided country, he is still trying to appeal to opposing interests while establishing his own, upbeat brand. “Let’s build a new national sense of unity, of common purpose and positivity,” he said in his first speech outside 10 Downing Street . After a post-Brexit decade dominated by angry rightwing politics, Labour infighting, never-ending culture wars and online acrimony, Burnham’s affable, seemingly inclusive politics has a strong initial appeal. This week, for the first time in 18 months, Labour is ahead of Reform UK in the polls. It’s possible that some voters have finally had enough of divisive politics and would like to try something different. Andy Beckett is a Guardian columnist Continue reading...",https://www.theguardian.com/commentisfree/2026/jul/30/andy-burnham-prime-minister-politics-change,2026-07-30T04:00:53+00:00,2026-07-30T11:20:55.373471+00:00,-0.5023
guardian,"Battles loom over social care, but this fight must be won. At last, we have a PM who believes that | Polly Toynbee","Burnham seems ready to use his power and influence. He understands the depth of this crisis: the task is persuading all those still in denial “People pleaser!” That’s the insult Andy Burnham’s enemies sneer at him. And yes, he will need all his mightiest people-pleasing talents to win over voters to contribute to a new national care service. Choosing this forever failed policy (22 major reviews over three decades) as his first great challenge is a remarkable act of bravery. No mere people pleaser would dare step on this political live rail. It will use up vast amounts of political capital to get a national care service off the ground. He hardly needed Tuesday’s Mail front page (“Burnham’s £18bn ‘death tax’ nightmare”) to remind him. But he has already fought on the battleground that is social care reform. “I do have some of the scars,” he said . How good to also hear him take a firm swipe at media attackers, who will now redouble their efforts. “You can’t create scare stories when people are already scared by what they’re seeing anyway through their own eyes in their own homes or in care homes,” he said. This is no grasp at low-hanging fruit, no search for a quick win. It’s a cause of deep conviction. Polly Toynbee is a Guardian columnist Do you have an opinion on the issues raised in this article? If you would like to submit a response of up to 300 words by email to be considered for publication in our letters section, please click here . Continue reading...",https://www.theguardian.com/commentisfree/2026/jul/29/andy-burnham-reform-social-care-crisis,2026-07-29T17:48:10+00:00,2026-07-30T11:20:55.373471+00:00,0.3612
guardian,Andy Burnham wants to fix social care. It’s personal for him and for a lot of us too,"Finally a grownup is in charge who speaks to voters as fellow adults. If he fixes this, he’ll achieve more than most other PMs UK politics live – latest updates It feels like the UK has a prime minister again. Not the Maybot paralysed with indecision. Not the clown-like Boris Johnson who crumbled under the weight of his own narcissism. Not the ridiculous Liz Truss. Not the steamrollered Rishi Sunak for whom everything was impossible. Not the automaton-like Keir Starmer who was never entirely sure what he wanted to do. But a prime minister who is emotionally intelligent. Who understands the country and can connect with it. Who is prepared to expend political capital to get the things done that other politicians were too weak to go near. You can almost feel the sense of relief in a UK that has become almost accepting of decline and failure. It’s the return of hope over grievance. Where once more we have an adult prime minister prepared to speak to voters as fellow adults. It could catch on. Continue reading...",https://www.theguardian.com/politics/2026/jul/29/the-uk-has-an-adult-pm-again-prepared-to-speak-to-voters-as-fellow-adults,2026-07-29T13:21:03+00:00,2026-07-30T11:20:55.373471+00:00,0.4939
